subject,predicate,object,source,validity
Robin Juhkental,band member,Malcolm Lincoln,wikidata,always true
Sundar Pichai,hypernym,person,wikidata,always true
optician,hypernym,individual,wordnet/conceptnet,always true
Fred Milano,band member,Dion and the Belmonts,wikidata,always true
hero,meronym,vacuole,wordnet/conceptnet,always true
First Match,hypernym,movie,wikidata,always true
Deutsche Vermögensberatung,hypernym,company,wikidata,always true
The Art of Loving,hypernym,movie,wikidata,always true
lunch,meronym,helping,wordnet/conceptnet,always true
Winston Beigel,spouse,Melissa Rauch,wikidata,always true
Francis Ford Coppola,hypernym,person,wikidata,always true
Jezebel,hypernym,movie,wikidata,always true
TGT,hypernym,band,wikidata,always true
Gelo,hypernym,movie,wikidata,always true
Olga Anstei,hypernym,person,wikidata,always true
Chris Flisher,hypernym,person,wikidata,always true
buffalo,meronym,jaw,wordnet/conceptnet,always true
Don Gummer,hypernym,person,wikidata,always true
pleasure,/r/IsA,choice,conceptnet,always true
wort,meronym,vegetable,wordnet/conceptnet,always true
hen,hypernym,vertebrate,wordnet/conceptnet,always true
Operações Especiais,hypernym,movie,wikidata,always true
Alexander H.,child,William Conner,wikidata,always true
Dominos Pizza,hypernym,company,wikidata,always true
goose,meronym,wing,wordnet/conceptnet,always true
Hajwala: The Missing Engine,hypernym,movie,wikidata,always true
Johnny,spouse,June Carter Cash,wikidata,always true
Manny Rodriguez,director,Gabriel lglesias: I’m Sorry For What I Said When I Was Hungry,wikidata,always true
French Dirty,hypernym,movie,wikidata,always true
Lake Forest,headquarter,Packaging Corp. of America,wikidata,always true
Wilfred Clarke,child,Asia Booth,wikidata,always true
David Brian Brown,band member,Sound Barrier,wikidata,always true
Thomas Erak,band member,The Fall of Troy,wikidata,always true
Curtiss-Wright,hypernym,company,wikidata,always true
Zoetis,hypernym,company,wikidata,always true
bear,meronym,eye,wordnet/conceptnet,always true
Maximilian Mohlmann,child,Priscilla Rattazzi,wikidata,always true
cat,meronym,head,wordnet/conceptnet,always true
Goodyear Tire & Rubber,hypernym,company,wikidata,always true
Fred Barakat,hypernym,person,wikidata,always true
animal,meronym,eyelid,wordnet/conceptnet,always true
Jackie Coogan,spouse,Betty Grable,wikidata,always true
Marjorie Leonard,spouse,William J. Brennan,wikidata,always true
awl,hypernym,tool,wordnet/conceptnet,always true
Manish Jha,director,Anwar,wikidata,always true
Goerz,hypernym,company,wikidata,always true
overture,hypernym,music,wordnet/conceptnet,always true
SCANA,hypernym,company,wikidata,always true
temperature,hypernym,quantity,wordnet/conceptnet,always true
takin,hypernym,mammal,wordnet/conceptnet,always true
Susie,spouse,Corey Feldman,wikidata,always true
Russell A. Childs,CEO,SkyWest,wikidata,always true
may,meronym,organelle,wordnet/conceptnet,always true
J Brown,band member,Five,wikidata,always true
noise,/r/IsA,cry,conceptnet,always true
Lewis Miller,hypernym,person,wikidata,always true
Leonardo Del Vecchio,founder,Luxottica,wikidata,always true
syrup,/r/IsA,sweetening,conceptnet,always true
pursuer,hypernym,person,wordnet/conceptnet,always true
She's Dating the Gangster,hypernym,movie,wikidata,always true
Steve Rodriguez,hypernym,person,wikidata,always true
Aziz Mirza,director,Phir Bhi Dil Hai Hindustani,wikidata,always true
bearskin,hypernym,material,wordnet/conceptnet,always true
Charlotte,headquarter,Nucor,wikidata,always true
Gianluca Ginoble,band member,Il Volo,wikidata,always true
Nicolas Cage,hypernym,person,wikidata,always true
Edward Zuckerberg,hypernym,person,wikidata,always true
spider,meronym,skull,wordnet/conceptnet,always true
nylon,hypernym,material,wordnet/conceptnet,always true
David Saperstein,spouse,Ellen Weiss,wikidata,always true
taffeta,hypernym,cloth,wordnet/conceptnet,always true
Robert Rodale,hypernym,person,wikidata,always true
Sean T. Drinkwater,band member,Freezepop,wikidata,always true
New York,headquarter,Apollo Global Management,wikidata,always true
Seth Kimbrough,band member,Mortal Treason,wikidata,always true
hedgehog,meronym,face,wordnet/conceptnet,always true
2006,release year,P,wikidata,always true
Rick,child,Dick Mackey,wikidata,always true
creepy-crawly,meronym,eyelid,wordnet/conceptnet,always true
bubble,/r/IsA,globule,conceptnet,always true
Kevin Devine,band member,Bad Books,wikidata,always true
Barra Grant,child,Bess Myerson,wikidata,always true
hummingbird,meronym,head,wordnet/conceptnet,always true
Irene Hervey,hypernym,person,wikidata,always true
13 Cameras,hypernym,movie,wikidata,always true
Joan Snyder,spouse,Larry Fink,wikidata,always true
Frederic Clay,spouse,Evelyn Bartlett,wikidata,always true
Hallgeir Rustan,band member,Stargate,wikidata,always true
Mujrim,hypernym,movie,wikidata,always true
gallery,meronym,doorway,wordnet/conceptnet,always true
Pat Maruhomadil,band member,One Davao Artists,wikidata,always true
O'Shea Jackson Jr.,child,Ice Cube,wikidata,always true
madam,meronym,cell,wordnet/conceptnet,always true
Gordon Moore,founder,Intel,wikidata,always true
Gambit,hypernym,person,wikidata,always true
Natalie Mai Vitetti,child,William Robertson Coe,wikidata,always true
larder,meronym,food,wordnet/conceptnet,always true
Ann Walton Kroenke,hypernym,person,wikidata,always true
Michael G. O'Grady,CEO,Northern Trust,wikidata,always true
Stewart Henderson,band member,The Delgados,wikidata,always true
Delroy,spouse,Arenda L. Wright Allen,wikidata,always true
Gaz Coombes,band member,The Jennifers,wikidata,always true
Melvin Tyler Storer,hypernym,person,wikidata,always true
Nasdaq,hypernym,company,wikidata,always true
insect,meronym,eyelid,wordnet/conceptnet,always true
Mark,child,Colleen Howe,wikidata,always true
Olga San Juan,spouse,Edmond O'Brien,wikidata,always true
Martha,spouse,Thomas Jefferson,wikidata,always true
interval,/r/IsA,distance,conceptnet,always true
bird,/r/Desires,fly,conceptnet,always true
Alley Mills,spouse,Orson Bean,wikidata,always true
John Francis,child,John Mercer,wikidata,always true
Stewart Granger,spouse,Jean Simmons,wikidata,always true
Shaun,child,Lynne Taylor-Corbett,wikidata,always true
Barbara Seaman,child,Henry J. Rosner,wikidata,always true
Helen,child,Ezra Carter,wikidata,always true
Alexander Wesselsky,band member,Eisbrecher,wikidata,always true
Elliott Roosevelt,hypernym,person,wikidata,always true
Taylor Swift reputation Stadium Tour,hypernym,movie,wikidata,always true
Ashok Vemuri,CEO,Conduent,wikidata,always true
Mike Montano,band member,Midnight Panic,wikidata,always true
Dorothy,spouse,Roy Lichtenstein,wikidata,always true
Paul Crouch,hypernym,person,wikidata,always true
Union Leader,hypernym,movie,wikidata,always true
mammal,meronym,snout,wordnet/conceptnet,always true
Helen Palmer Geisel,spouse,Dr. Seuss,wikidata,always true
ladybird,meronym,clapper,wordnet/conceptnet,always true
Abbott Lawrence,spouse,Margaret Randolph Rotch,wikidata,always true
American Anarchist,hypernym,movie,wikidata,always true
Jonathan Antoine,band member,Jonathan and Charlotte,wikidata,always true
Jakarta,capital,Indonesia,wikidata,always true
Daniel Gray Longino,director,"Frankenstein’s Monster’s Monster, Frankenstein",wikidata,always true
playroom,meronym,floor,wordnet/conceptnet,always true
Daniel Edelman,founder,Edelman,wikidata,always true
Citrix Systems,hypernym,company,wikidata,always true
Edward Bowes,spouse,Margaret Illington,wikidata,always true
Frank Marshall,hypernym,person,wikidata,always true
Matt Skiba,band member,Heavens,wikidata,always true
Marianne Ginther,spouse,Newt Gingrich,wikidata,always true
hollow,hypernym,location,wordnet/conceptnet,always true
abbey,meronym,doorstep,wordnet/conceptnet,always true
INDIA,hypernym,movie,wikidata,always true
seedling,meronym,organelle,wordnet/conceptnet,always true
Gerrit Smith,hypernym,person,wikidata,always true
The Break-Up,hypernym,movie,wikidata,always true
2010,release year,Bang Rajan 2,wikidata,always true
I Hate Luv Storys,hypernym,movie,wikidata,always true
Second Layer,hypernym,band,wikidata,always true
Thomas Lincoln,hypernym,person,wikidata,always true
Vilnius,capital,Lithuania,wikidata,always true
Back to School,hypernym,movie,wikidata,always true
spinach,hypernym,plant,wordnet/conceptnet,always true
Brian Cook,band member,Botch,wikidata,always true
Joe McCain,child,"John S. McCain, Jr.",wikidata,always true
North Korea,hypernym,country,wikidata,always true
Leonardo,child,Pepe Aguilar,wikidata,always true
2016,hypernym,year,wikidata,always true
tree,/r/IsA,woody plant,conceptnet,always true
Kazuo Kashio,founder,Casio,wikidata,always true
heart,meronym,leaflet,wordnet/conceptnet,always true
Ethel Merman,spouse,Robert Six,wikidata,always true
Mauro Refosco,band member,Forro in the Dark,wikidata,always true
Dan Potthast,band member,MU330,wikidata,always true
lady,hypernym,woman,wordnet/conceptnet,always true
Bad Day for the Cut,hypernym,movie,wikidata,always true
kit,meronym,brow,wordnet/conceptnet,always true
Julia C. R. Dorr,hypernym,person,wikidata,always true
Caleres,hypernym,company,wikidata,always true
tyrannosaurus,meronym,cell,wordnet/conceptnet,always true
immigrant,hypernym,person,wordnet/conceptnet,always true
Samuel M. Sato,CEO,Finish Line,wikidata,always true
vanilla,meronym,vacuole,wordnet/conceptnet,always true
mongoose,meronym,chin,wordnet/conceptnet,always true
Percy Selden,child,Isidor Straus,wikidata,always true
anniversary,hypernym,period,wordnet/conceptnet,always true
Scott,spouse,Kelley Marie Wolf,wikidata,always true
John Kasich,hypernym,person,wikidata,always true
Lucky: No Time for Love,hypernym,movie,wikidata,always true
Sandaime J Soul Brothers from Exile Tribe,band member,J Soul Brothers,wikidata,always true
Christine,hypernym,movie,wikidata,always true
Lauren Bennett,band member,The Pussycat Dolls,wikidata,always true
Peggy Guggenheim,spouse,Max Ernst,wikidata,always true
2005,release year,Getting Played,wikidata,always true
Publicis,hypernym,company,wikidata,always true
The Postmarks,hypernym,band,wikidata,always true
budgerigar,hypernym,bird,wordnet/conceptnet,always true
Evan,child,Marvella Bayh,wikidata,always true
Scott Hicks,director,Highly Strung,wikidata,always true
salamander,meronym,chin,wordnet/conceptnet,always true
2017,release year,Manolo: The Boy Who Made Shoes for Lizards,wikidata,always true
Mike Marsh,band member,The Avett Brothers,wikidata,always true
Anthony,child,Donald Pritzker,wikidata,always true
Des Moines,headquarter,Principal Financial,wikidata,always true
Lynn Garafola,spouse,Eric Foner,wikidata,always true
Shawn King,hypernym,person,wikidata,always true
poodle,hypernym,mammal,wordnet/conceptnet,always true
Flegias,band member,Cadaveria,wikidata,always true
Tommy Davis,hypernym,person,wikidata,always true
Samantha Lewes,spouse,Tom Hanks,wikidata,always true
alligator,meronym,brain,wordnet/conceptnet,always true
butler,hypernym,individual,wordnet/conceptnet,always true
Husbands in Goa,hypernym,movie,wikidata,always true
Jon Langford,band member,The Three Johns,wikidata,always true
Rick Froberg,band member,Hot Snakes,wikidata,always true
Tia Lee,band member,Dream Girls,wikidata,always true
A StoryBots Christmas,hypernym,movie,wikidata,always true
may,hypernym,bush,wordnet/conceptnet,always true
moth,meronym,cell,wordnet/conceptnet,always true
jacket,/r/PartOf,potato,conceptnet,always true
song,/r/IsA,poem,conceptnet,always true
Steve Bannon,hypernym,person,wikidata,always true
Daniel,child,Ebenezer Webster,wikidata,always true
Arthur L. Peck,CEO,Gap,wikidata,always true
person,/r/Desires,gifts at christmas,conceptnet,always true
fiber,hypernym,fabric,wordnet/conceptnet,always true
The Memories Attack,hypernym,band,wikidata,always true
porridge,meronym,sauce,wordnet/conceptnet,always true
Performance Food Group,hypernym,company,wikidata,always true
Jakob James Nowell,band member,L.A.W. (band),wikidata,always true
Thomas A. Gendron,CEO,Woodward,wikidata,always true
Cristina Ferrare,hypernym,person,wikidata,always true
How to Make an American Quilt,hypernym,movie,wikidata,always true
captain,meronym,trait,wordnet/conceptnet,always true
Grease,hypernym,movie,wikidata,always true
yew,hypernym,wood,wordnet/conceptnet,always true
coot,hypernym,bird,wordnet/conceptnet,always true
Amanda Micheli,director,Vegas Baby,wikidata,always true
Dream Kardashian,child,Blac Chyna,wikidata,always true
Keiichi Sato,director,GANTZ:O,wikidata,always true
bluebottle,meronym,cell,wordnet/conceptnet,always true
North Palm Beach,headquarter,NextEra Energy,wikidata,always true
Girl,hypernym,movie,wikidata,always true
Fay Wray,hypernym,person,wikidata,always true
Zions Bancorp.,hypernym,company,wikidata,always true
bull,hypernym,vertebrate,wordnet/conceptnet,always true
mynah,meronym,tail,wordnet/conceptnet,always true
Curtis A. Morgan,CEO,Dynegy,wikidata,always true
Kara Luiz,spouse,Oren Kaplan,wikidata,always true
entertainer,hypernym,person,wordnet/conceptnet,always true
Monière,director,Soul to Keep,wikidata,always true
min,hypernym,quantity,wordnet/conceptnet,always true
Robert Douglas,child,William Robertson Coe,wikidata,always true
Selena Gomez,band member,Selena Gomez & the Scene,wikidata,always true
Wilson Miles Cary,child,Ferdinando Fairfax,wikidata,always true
room,/r/IsA,part of building,conceptnet,always true
starfish,meronym,head,wordnet/conceptnet,always true
Neil Fallon,band member,The Company Band,wikidata,always true
Kent McCloughan,hypernym,person,wikidata,always true
manor,meronym,shelf,wordnet/conceptnet,always true
Alana Haim,band member,Haim,wikidata,always true
dove,meronym,organelle,wordnet/conceptnet,always true
Hong Le,spouse,Jim Webb,wikidata,always true
Thomas Lehn,band member,Ensemble hiatus,wikidata,always true
Fol Chen,hypernym,band,wikidata,always true
John Adams II,child,John Quincy Adams,wikidata,always true
Sherwin Shilati,director,People You May Know,wikidata,always true
Nicholas,child,Molly Kazan,wikidata,always true
flea,hypernym,insect,wordnet/conceptnet,always true
circuit,meronym,electromagnet,wordnet/conceptnet,always true
person,/r/Desires,compliments,conceptnet,always true
Richard Ainley,child,Bettina von Hutten,wikidata,always true
Edgar Young Mullins,hypernym,person,wikidata,always true
Priscilla,spouse,Elvis Presley,wikidata,always true
Mark Hoppus,band member,+44,wikidata,always true
Robert Bolling,hypernym,person,wikidata,always true
Brian J. Kesseler,CEO,Tenneco,wikidata,always true
New York Giants,super bowl loser,2001,wikidata,always true
William Prescott,hypernym,person,wikidata,always true
Justin Adams,band member,Strange Sensation,wikidata,always true
Charlotte,headquarter,JELD-WEN Holding,wikidata,always true
Stacey Savage,band member,Savage Master,wikidata,always true
Marie McDonald,spouse,Victor Orsatti,wikidata,always true
Paramaribo,capital,Suriname,wikidata,always true
ambulance,meronym,starter,wordnet/conceptnet,always true
pit,/r/IsA,cavity,conceptnet,always true
scientist,meronym,nucleus,wordnet/conceptnet,always true
Benjamin Harrison III,hypernym,person,wikidata,always true
Fugazi,hypernym,band,wikidata,always true
David Palmer,hypernym,person,wikidata,always true
cat,/r/CapableOf,sun on porch,conceptnet,always true
worm,meronym,brow,wordnet/conceptnet,always true
foyer,meronym,doorway,wordnet/conceptnet,always true
convent,meronym,floor,wordnet/conceptnet,always true
The Duchess,hypernym,movie,wikidata,always true
Norman Mailer,hypernym,person,wikidata,always true
